id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year
52qf3kN9pExTlHdSlh3ZeR,Pause Track,0,3344,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
61U5B4CiBPq9j5H1nEB6Aw,Knockin' A Jug - 78 rpm Version,1,194200,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.806,0.358,10,-14.0,1,0.156,0.573,0.799,0.15,0.598,113.57,4,1925
6XWCeD5XNqZr5XPVZUDn1G,Pause Track,0,4000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
7JeVq9ckcAkIsmWbagXQUX,I Can't Give You Anything But Love,1,202600,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.622,0.127,8,-11.603,1,0.0783,0.928,0.664,0.105,0.648,113.677,4,1925
7bgYtpP5qxWabDHsPY8Rwc,Pause Track,0,4000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
7lNm1rlKFHpc0DTCUVXkJS,Weather Bird,2,164693,0,"['Louis Armstrong', 'Earl Hines']",['19eLuQmk9aCobbVDHc6eek' '2mY5u4CceAPrpBnse1WpFr'],1925,0.822,0.276,0,-12.276,0,0.0972,0.863,0.546,0.146,0.846,103.383,4,1925
7nZNkbxnRyx1DqPC6ro6Je,Pause Track,0,4000,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1925,0.0,0.0,0,-60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1925
56EWLK7IzCDywaEyXt5rtX,All My Life - Live,29,191427,0,['Ella Fitzgerald'],['5V0MlUE1Bft0mbLlND7FJz'],1927,0.661,0.108,10,-20.662,1,0.0419,0.986,0.696,0.178,0.678,106.539,4,1927
1ca1yB1MnJOJWfcfrEUoK3,Wherever You Are - Live,0,177933,0,"['Billie Holiday', 'Teddy Wilson']",['1YzCsTRb22dQkh9lghPIrp' '0tg5uVI4VjzZOFzBryJZii'],1927,0.55,0.135,7,-14.114,0,0.0345,0.985,3.69e-06,0.211,0.534,78.053,3,1927
2xiayS0TtldVFZf1uc53vx,You're Just A Old Antidisestablish-Mentarianismist - Live,0,167773,0,['Duke Ellington'],['4F7Q5NV6h5TSwCainz8S5A'],1927,0.628,0.23,0,-15.088,1,0.0763,0.944,0.00784,0.0595,0.754,134.417,4,1927
3qCauTOoDYC65l0KLAoU1O,St. Louis Blues (with Louis Armstrong),0,190680,0,"['Bessie Smith', 'Louis Armstrong']",['5ESobCkc6JI4tIMxQttqeg' '19eLuQmk9aCobbVDHc6eek'],1927,0.52,0.191,10,-8.781,1,0.0399,0.993,7.04e-05,0.147,0.27,67.31,4,1927
4xlgZFlKyD3SP86i9tAxcV,Evil Gal Blues - Live,1,161893,0,['Aretha Franklin'],['7nwUJBm0HE4ZxD3f5cy5ok'],1927,0.496,0.829,5,-8.876,0,0.0519,0.629,0.0768,0.162,0.733,119.018,4,1927
56piQ3lbNvwZLYh7HnYRZY,"It's Been a Long, Long Time",3,203773,0,"['Harry James', 'Helen Forrest']",['5MpELOfAiq7aIBTij30phD' '5SguMzNsojVk03s64Ggzad'],1927,0.283,0.223,0,-9.699,1,0.0304,0.941,0.00131,0.301,0.383,75.249,4,1927
6oZ1lyCjQ91VJBOSDi6zXe,Ain't Misbehavin' - Live,0,181067,0,['Sarah Vaughan'],['1bgyxtWjZwA5PQlDsvs9b8'],1927,0.589,0.135,8,-13.113,1,0.0531,0.977,6.94e-06,0.108,0.622,111.819,4,1927
